Code,Name,Type,Latitude,Longitude,Date_Opened,Date_Closed,Species
OX3,Oxford_St_Ebbes,URBAN_BACKGROUND,51.74480600,-1.260270000,20080101,20100603,"NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
WBRO,Sandwell_West_Bromwich,URBAN_BACKGROUND,52.52062000,-1.995556000,19981104,20111231,"CO,NO,NO2,NOx,O3,SO2"
SCUN,Scunthorpe,URBAN_INDUSTRIAL,53.58499000,-0.633015000,19971215,20040318,"PM10,SO2"
SOM,Somerton,RURAL_BACKGROUND,51.03572000,-2.735253000,19960126,20080305,"NO,NO2,NOx,O3"
SK2,Southwark_Roadside,URBAN_TRAFFIC,51.48199000,-0.062300000,19940401,20060208,"CO,NO,NO2,NOx,SO2"
STE,Stevenage,SUBURBAN_BACKGROUND,51.88694400,-0.200833000,19760622,19940429,"CO,NO,NO2,NOx,O3,SO2"
STEW,Stewartby,URBAN_INDUSTRIAL,52.07194400,-0.511111000,20071126,20081231,SO2
STOC,Stockport,URBAN_BACKGROUND,53.40994000,-2.158200000,19961125,20021003,"CO,NO,NO2,NOx,PM10,SO2"
STK4,Stockport_Shaw_Heath,URBAN_BACKGROUND,53.40306000,-2.161111000,20021009,20070930,"CO,NO,NO2,NOx,PM10,SO2"
YARM,Stockton-on-Tees_Yarm,URBAN_TRAFFIC,54.50918000,-1.354319000,20010101,20080902,"CO,NO,NO2,NOx,PM10"
SUND,Sunderland,URBAN_BACKGROUND,54.90610600,-1.380081000,19921006,20070930,SO2
SUT1,Sutton_Roadside,URBAN_TRAFFIC,51.36636000,-0.182789000,19960401,20020502,"CO,NO,NO2,NOx,PM10,SO2"
SWAN,Swansea,URBAN_BACKGROUND,51.62114000,-3.943329000,19941201,20060807,"CO,NO,NO2,NOx,O3,PM10,SO2"
WAL,Walsall_Alumwell,URBAN_BACKGROUND,52.58167000,-2.010483000,19870305,20070930,"NO,NO2,NOx"
WAL2,Walsall_Willenhall,URBAN_BACKGROUND,52.60821000,-2.033144000,19970429,20100203,"NO,NO2,NOx"
WL,West_London,URBAN_BACKGROUND,51.49380000,-0.200361000,19870101,20070930,"CO,NO,NO2,NOx"
WC,Wharleycroft,RURAL_BACKGROUND,54.61623800,-2.468931000,19850508,19951128,O3
WIG3,Wigan_Leigh,URBAN_BACKGROUND,53.49422000,-2.506899000,20010101,20040928,"CO,NO,NO2,NOx,O3,PM10,SO2"
WOLV,Wolverhampton_Centre,URBAN_BACKGROUND,52.58818000,-2.129008000,19951219,20070930,"CO,NO,NO2,NOx,O3,PM10,SO2,nvPM10,vPM10"
WRAY,Wray,RURAL_BACKGROUND,54.10466600,-2.584182000,19850401,19880229,O3
